Runde,Fortune,Contribution,Punished,Cognitive Distortion,Cognitive Algebra
Runde0,5,0,False,,
Runde1,6.5,0,False,,
Runde2,6.75,0,False,,
Runde3,7.0,0,False,,
Runde4,8.25,0,False,,
Runde5,8.25,0,False,,
Runde6,8.25,0,False,,
Runde7,8.5,0,False,,
Runde8,8.5,0,False,,
Runde9,8.75,0,False,,
Runde10,8.75,0,False,,
Runde11,8.75,0,False,,
Runde12,8.75,0,False,,
Runde13,8.75,0,False,,
Runde14,8.75,0,False,,
Runde15,9.0,0,False,,
Runde16,9.0,0,False,,
Runde17,9.5,0,False,,
Runde18,9.5,0,False,,
Runde19,9.5,0,False,,
Runde20,9.5,0,False,,
Runde21,9.5,0,False,,
Runde22,9.5,0,False,,
Runde23,9.5,0,False,,
Runde24,9.5,0,False,,
Runde25,,,False,,
